file,class,method,variable,usage
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\model\stream\MediaStoreImageThumbLoader.java,com.bumptech.glide.load.model.stream.MediaStoreImageThumbLoader,MediaStoreImageThumbLoader/1[com.bumptech.glide.load.model.stream.Context],context,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\model\stream\MediaStoreImageThumbLoader.java,com.bumptech.glide.load.model.stream.MediaStoreImageThumbLoader,"buildLoadData/4[com.bumptech.glide.load.model.stream.Uri,int,int,com.bumptech.glide.load.Options]",context,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\engine\cache\SafeKeyGenerator.java,com.bumptech.glide.load.engine.cache.SafeKeyGenerator,getSafeKey/1[com.bumptech.glide.load.Key],loadIdToSafeHash,4
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"DelayTarget/3[com.bumptech.glide.load.resource.gif.Handler,int,long]",handler,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"DelayTarget/3[com.bumptech.glide.load.resource.gif.Handler,int,long]",index,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"DelayTarget/3[com.bumptech.glide.load.resource.gif.Handler,int,long]",targetTime,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"onResourceReady/2[com.bumptech.glide.load.resource.gif.Bitmap,com.bumptech.glide.load.resource.gif.Transition<? super com.bumptech.glide.load.resource.gif.Bitmap>]",handler,2
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"onResourceReady/2[com.bumptech.glide.load.resource.gif.Bitmap,com.bumptech.glide.load.resource.gif.Transition<? super com.bumptech.glide.load.resource.gif.Bitmap>]",resource,3
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"onResourceReady/2[com.bumptech.glide.load.resource.gif.Bitmap,com.bumptech.glide.load.resource.gif.Transition<? super com.bumptech.glide.load.resource.gif.Bitmap>]",targetTime,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,onLoadCleared/1[com.bumptech.glide.load.resource.gif.Drawable],resource,1
C:\MetricsTest\Glide\library\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,getResource/0,resource,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,getDefaultTransitionOptions_withMatchingOptionsRegistered_returnsMatchingOptions/0,context,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,getDefaultTransitionOptions_withMatchingOptionsRegistered_returnsMatchingOptions/0,transitionOptions,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,getDefaultTransitionOptions_withSuperClassRegistered_returnsSuperClassOptions/0,context,2
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,getDefaultTransitionOptions_withSuperClassRegistered_returnsSuperClassOptions/0,transitionOptions,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,setUp/0,context,1
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,setUp/0,transitionOptions,2
C:\MetricsTest\Glide\library\test\src\test\java\com\bumptech\glide\GlideContextTest.java,com.bumptech.glide.GlideContextTest,getDefaultTransitionOptions_withNonMatchingOptionRegistered_returnsDefaultOptions/0,context,1
