file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\MetricsTest\Dubbo\dubbo-demo\dubbo-demo-native\dubbo-demo-native-provider\src\main\java\org\apache\dubbo\demo\graalvm\provider\Application.java,org.apache.dubbo.demo.graalvm.provider.Application,class,8,9,1,8,4,1,0,19,3,0.6666667,NaN,NaN,3,3,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,29,1,0,0,0,0,14,4,6,0,6,0,0,0,0,34,1,0
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\ProtocolServiceKeyTest.java,org.apache.dubbo.common.ProtocolServiceKeyTest,class,3,3,0,3,1,1,0,12,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,85,0,9,0,9,0,0,0,0,14,0,0
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,innerclass,3,3,0,3,6,2,0,1,11,0.6666667,0.13333334,0.13333334,6,0,4,0,0,2,6,0,0,0,2,0,0,2,0,0,0,0,0,21,2,0,0,0,0,0,0,2,0,2,0,0,0,0,12,10,0
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\PojoUtilsTest.java,org.apache.dubbo.common.utils.PojoUtilsTest$ListResult,innerclass,1,1,0,1,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,9,0
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl2,innerclass,1,1,0,1,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,10,9,0
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,innerclass,1,1,0,1,6,1,0,1,7,0.5833334,0.26666668,0.26666668,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,3,0,0,0,0,2,1,4,1,2,0,0,0,0,13,9,0
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl0,innerclass,0,0,0,0,2,1,0,0,1,1.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,1,4,0,0,0,1,0,0,10,0,0,0,0,0,0,1,2,0,6,0,0,0,0,8,9,0
C:\MetricsTest\Dubbo\dubbo-common\src\main\java\org\apache\dubbo\config\context\ConfigMode.java,org.apache.dubbo.config.context.ConfigMode,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\convert\ConverterTest.java,org.apache.dubbo.common.convert.ConverterTest,class,11,12,1,11,5,1,0,18,4,0.4,0.5,0.5,5,0,2,1,0,2,4,0,0,0,1,0,0,1,0,0,0,0,5,23,1,0,0,0,0,3,2,1,0,2,1,0,0,1,21,0,0
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\beans\factory\annotation\MergedAnnotationTest.java,org.apache.dubbo.config.spring.beans.factory.annotation.MergedAnnotationTest$TestBean2,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,10,0
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-spring\src\test\java\org\apache\dubbo\config\spring\beans\factory\annotation\MergedAnnotationTest.java,org.apache.dubbo.config.spring.beans.factory.annotation.MergedAnnotationTest$TestBean1,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,0
C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\support\wrapper\ScopeClusterWrapper.java,org.apache.dubbo.rpc.cluster.support.wrapper.ScopeClusterWrapper,class,6,6,0,6,3,1,0,1,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,2,0,0,0,0,0,1,1,0,1,0,0,0,0,21,1,0
C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\router\condition\matcher\ConditionMatcherFactory.java,org.apache.dubbo.rpc.cluster.router.condition.matcher.ConditionMatcherFactory,interface,3,7,4,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\ConfigUtilsTest.java,org.apache.dubbo.common.utils.ConfigUtilsTest,class,7,7,0,7,28,1,0,36,345,0.8888889,0.008547009,0.008547009,27,0,2,0,0,25,27,0,0,0,1,0,0,1,0,0,0,0,29,168,0,0,0,3,0,120,1,32,0,29,1,0,0,0,100,0,0
