file,class,method,variable,usage
C:\MetricsTest\Dubbo\dubbo-demo\dubbo-demo-native\dubbo-demo-native-provider\src\main\java\org\apache\dubbo\demo\graalvm\provider\Application.java,org.apache.dubbo.demo.graalvm.provider.Application,startWithBootstrap/0,REGISTRY_URL,1
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,getA1/0,a1,1
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,setA1/1[java.lang.Integer],a1,3
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,getB/0,b,1
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,setB/1[org.apache.dubbo.config.AbstractConfigTest.InnerConfig],b,3
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\PojoUtilsTest.java,org.apache.dubbo.common.utils.PojoUtilsTest$ListResult,getResult/0,result,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\utils\PojoUtilsTest.java,org.apache.dubbo.common.utils.PojoUtilsTest$ListResult,setResult/1[java.util.List<T>],result,3
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl2,getFloat1/0,float1,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl2,setFloat/1[java.lang.Float],float2,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl2,getFloat2/0,float2,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl2,setFloat/1[float],float1,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,hello/1[java.lang.String],name,2
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,getName/0,name,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,setName/1[java.lang.String],name,3
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,setFloat/1[float],fv,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,getFloat/0,fv,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\convert\ConverterTest.java,org.apache.dubbo.common.convert.ConverterTest,setup/0,converterUtil,1
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\convert\ConverterTest.java,org.apache.dubbo.common.convert.ConverterTest,testConvertIfPossible/0,converterUtil,3
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\convert\ConverterTest.java,org.apache.dubbo.common.convert.ConverterTest,testGetConverter/0,converterUtil,1
C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\support\wrapper\ScopeClusterWrapper.java,org.apache.dubbo.rpc.cluster.support.wrapper.ScopeClusterWrapper,getCluster/0,cluster,1
C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\support\wrapper\ScopeClusterWrapper.java,org.apache.dubbo.rpc.cluster.support.wrapper.ScopeClusterWrapper,ScopeClusterWrapper/1[org.apache.dubbo.rpc.cluster.Cluster],cluster,3
C:\MetricsTest\Dubbo\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\support\wrapper\ScopeClusterWrapper.java,org.apache.dubbo.rpc.cluster.support.wrapper.ScopeClusterWrapper,"join/2[org.apache.dubbo.rpc.cluster.Directory<T>,boolean]",cluster,1
