file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\MetricsTest\Dubbo\dubbo-demo\dubbo-demo-native\dubbo-demo-native-provider\src\main\java\org\apache\dubbo\demo\graalvm\provider\Application.java,org.apache.dubbo.demo.graalvm.provider.Application,main/1[java.lang.String[]],false,34,1,1,0,1,1,3,7,0,0,1,3,1,1,0,0,0,0,6,0,0,0,0,0,0,0,6,9,0,false
C:\MetricsTest\Dubbo\dubbo-demo\dubbo-demo-native\dubbo-demo-native-provider\src\main\java\org\apache\dubbo\demo\graalvm\provider\Application.java,org.apache.dubbo.demo.graalvm.provider.Application,startWithBootstrap/0,false,46,7,2,1,1,1,15,16,0,5,0,15,0,0,0,0,0,0,6,2,5,0,0,0,0,0,29,10,0,false
C:\MetricsTest\Dubbo\dubbo-demo\dubbo-demo-native\dubbo-demo-native-provider\src\main\java\org\apache\dubbo\demo\graalvm\provider\Application.java,org.apache.dubbo.demo.graalvm.provider.Application,isClassic/1[java.lang.String[]],false,42,0,0,0,0,2,1,3,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,10,0,false
C:\MetricsTest\Dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\ProtocolServiceKeyTest.java,org.apache.dubbo.common.ProtocolServiceKeyTest,test/0,false,24,3,0,0,0,1,12,39,0,9,0,12,0,0,0,0,0,0,85,0,9,0,0,0,0,0,13,0,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,OuterConfig/1[java.lang.String],true,1010,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,getA1/0,false,1014,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,setA1/1[java.lang.Integer],false,1018,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,OuterConfig/0,true,1008,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,getB/0,false,1022,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\MetricsTest\Dubbo\dubbo-config\dubbo-config-api\src\test\java\org\apache\dubbo\config\AbstractConfigTest.java,org.apache.dubbo.config.AbstractConfigTest$OuterConfig,setB/1[org.apache.dubbo.config.AbstractConfigTest.InnerConfig],false,1026,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
